key,id_municipio,id_municipio_tse
RO|NOVA MAMORE,1100338,434
RO|PORTO VELHO,1100205,35
RO|ITAPUA DO OESTE,1101104,493
RO|CANDEIAS DO JAMARI,1100809,477
RO|CUJUBIM,1100940,680
RO|BURITIS,1100452,779
RO|CAMPO NOVO DE RONDONIA,1100700,671
RO|GUAJARA MIRIM,1100106,19
RO|COSTA MARQUES,1100080,213
RO|SAO FRANCISCO DO GUAPORE,1101492,795
RO|MONTE NEGRO,1101401,663
RO|CACAULANDIA,1100601,620
RO|ALTO PARAISO,1100403,639
RO|ARIQUEMES,1100023,78
RO|RIO CRESPO,1100262,647
RO|VALE DO ANARI,1101757,698
RO|MACHADINHO D OESTE,1100130,396
RO|JARU,1100114,159
RO|THEOBROMA,1101609,590
RO|GOVERNADOR JORGE TEIXEIRA,1101005,612
RO|VALE DO PARAISO,1101807,558
RO|TEIXEIROPOLIS,1101559,752
RO|NOVA UNIAO,1101435,744
RO|PRESIDENTE MEDICI,1100254,191
RO|JI PARANA,1100122,51
RO|MIRANTE DA SERRA,1101302,574
RO|OURO PRETO DO OESTE,1100155,175
RO|URUPA,1101708,566
RO|SAO MIGUEL DO GUAPORE,1100320,418
RO|SERINGUEIRAS,1101500,582
RO|ALVORADA D OESTE,1100346,337
RO|NOVA BRASILANDIA D OESTE,1100148,370
RO|CASTANHEIRAS,1100908,531
RO|MINISTRO ANDREAZZA,1101203,604
RO|SANTA LUZIA D OESTE,1100296,353
RO|NOVO HORIZONTE DO OESTE,1100502,515
RO|ALTO ALEGRE DOS PARECIS,1100379,736
RO|CACOAL,1100049,94
RO|ESPIGAO D OESTE,1100098,256
RO|ALTA FLORESTA D OESTE,1100015,310
RO|ROLIM DE MOURA,1100288,299
RO|PRIMAVERA DE RONDONIA,1101476,728
RO|PARECIS,1101450,701
RO|SAO FELIPE D OESTE,1101484,710
RO|PIMENTA BUENO,1100189,116
RO|CHUPINGUAIA,1100924,809
RO|VILHENA,1100304,132
RO|CABIXI,1100031,450
RO|PIMENTEIRAS DO OESTE,1101468,787
RO|CEREJEIRAS,1100056,272
RO|CORUMBIARA,1100072,655
RO|COLORADO DO OESTE,1100064,230
AC|PORTO WALTER,1200393,1066
AC|MANCIO LIMA,1200336,1090
AC|MARECHAL THAUMATURGO,1200351,1040
AC|RODRIGUES ALVES,1200427,1082
